beds,baths,sq_feet,cats,dogs,postal_code,type_Apartment,type_Basement,type_Condo Unit,type_House,price
1,1.0,1000.0,1,1,2,0.0,1.0,0.0,0.0,1845.0
1,1.0,628.0,0,0,60,1.0,0.0,0.0,0.0,2337.0
2,1.0,881.0,0,0,60,1.0,0.0,0.0,0.0,2924.0
3,2.0,1039.0,0,0,60,1.0,0.0,0.0,0.0,3299.0
3,1.5,1039.0,0,0,60,1.0,0.0,0.0,0.0,3280.15
1,1.0,628.0,0,0,60,1.0,0.0,0.0,0.0,2237.06
3,1.5,1039.0,0,0,60,1.0,0.0,0.0,0.0,3554.15
1,1.0,628.0,0,0,60,1.0,0.0,0.0,0.0,2242.06
1,1.0,658.0,0,0,60,1.0,0.0,0.0,0.0,2282.06
3,1.0,1096.0,0,0,60,1.0,0.0,0.0,0.0,3367.15
2,1.0,882.0,0,0,60,1.0,0.0,0.0,0.0,2973.39
1,1.0,625.0,0,0,60,1.0,0.0,0.0,0.0,2259.06
1,1.0,658.0,0,0,60,1.0,0.0,0.0,0.0,2252.06
3,1.5,953.0,1,1,20,1.0,0.0,0.0,0.0,2999.0
1,1.0,656.0,1,1,20,1.0,0.0,0.0,0.0,2300.0
2,1.0,889.0,1,1,20,1.0,0.0,0.0,0.0,2750.0
1,1.0,651.0,1,1,20,1.0,0.0,0.0,0.0,2345.84
1,1.0,656.0,1,1,20,1.0,0.0,0.0,0.0,2310.0
2,1.0,889.0,1,1,20,1.0,0.0,0.0,0.0,2820.0
3,1.5,953.0,1,1,20,1.0,0.0,0.0,0.0,3015.27
1,1.0,1371.060606060606,0,0,60,1.0,0.0,0.0,0.0,2199.0
2,1.0,1371.060606060606,0,0,60,1.0,0.0,0.0,0.0,2819.0
3,1.0,1371.060606060606,0,0,60,1.0,0.0,0.0,0.0,3374.0
1,1.0,700.0,0,0,60,1.0,0.0,0.0,0.0,2367.19
1,1.0,569.0,0,0,60,1.0,0.0,0.0,0.0,2239.84
1,1.0,569.0,0,0,60,1.0,0.0,0.0,0.0,2321.91
1,1.0,700.0,0,0,60,1.0,0.0,0.0,0.0,2553.37
1,1.0,562.0,0,0,60,1.0,0.0,0.0,0.0,2321.91
1,1.0,703.0,0,0,60,1.0,0.0,0.0,0.0,2443.11
1,1.0,660.0,0,0,60,1.0,0.0,0.0,0.0,2443.11
1,1.0,706.0,0,0,60,1.0,0.0,0.0,0.0,2397.91
1,1.0,703.0,0,0,60,1.0,0.0,0.0,0.0,2478.91
1,1.0,645.0,1,1,16,1.0,0.0,0.0,0.0,2274.57
2,1.5,904.0,1,1,16,1.0,0.0,0.0,0.0,2900.0
1,1.0,753.0,1,1,16,1.0,0.0,0.0,0.0,2413.57
1,1.0,667.0,1,1,16,1.0,0.0,0.0,0.0,2399.0
3,1.5,1075.0,1,1,16,1.0,0.0,0.0,0.0,3198.31
2,2.5,1000.0,1,1,4,0.0,0.0,0.0,0.0,2845.0
2,1.0,0.0,1,1,8,1.0,0.0,0.0,0.0,2915.0
1,1.0,1371.060606060606,1,1,8,1.0,0.0,0.0,0.0,2270.0
2,1.0,800.0,1,1,60,0.0,1.0,0.0,0.0,2085.0
2,1.0,880.0,1,1,9,1.0,0.0,0.0,0.0,2714.05
1,1.0,1371.060606060606,1,1,4,0.0,0.0,0.0,0.0,1895.0
2,1.0,853.0,0,0,11,1.0,0.0,0.0,0.0,2695.0
2,1.0,972.0,0,0,11,1.0,0.0,0.0,0.0,2750.0
2,1.0,1098.0,0,0,11,1.0,0.0,0.0,0.0,2585.0
2,1.0,853.0,0,0,11,1.0,0.0,0.0,0.0,2675.0
2,1.0,853.0,0,0,11,1.0,0.0,0.0,0.0,2625.0
5,5.0,3500.0,1,1,11,0.0,0.0,0.0,1.0,4295.0
2,1.0,790.0,1,1,20,1.0,0.0,0.0,0.0,2400.0
3,1.0,880.0,1,1,20,1.0,0.0,0.0,0.0,2800.0
1,1.0,500.0,1,1,14,0.0,1.0,0.0,0.0,1745.0
1,1.0,700.0,1,1,6,1.0,0.0,0.0,0.0,2300.0
1,1.0,550.0,1,1,60,1.0,0.0,0.0,0.0,2250.0
1,1.0,550.0,1,1,60,1.0,0.0,0.0,0.0,2350.0
1,1.0,600.0,1,1,11,0.0,1.0,0.0,0.0,1745.0
2,1.0,1000.0,1,1,2,0.0,1.0,0.0,0.0,1945.0
2,1.0,900.0,1,1,4,0.0,1.0,0.0,0.0,2085.0
2,2.0,1900.0,1,1,4,1.0,0.0,0.0,0.0,2850.0
3,2.0,1100.0,1,1,60,1.0,0.0,0.0,0.0,3350.0
2,2.0,800.0,1,1,11,0.0,1.0,0.0,0.0,2370.0
1,1.0,700.0,1,1,60,1.0,0.0,0.0,0.0,2400.0
4,2.5,1800.0,1,1,4,0.0,0.0,0.0,1.0,3695.0
1,1.0,500.0,1,1,60,1.0,0.0,0.0,0.0,2195.0
1,1.0,750.0,1,1,6,0.0,1.0,0.0,0.0,2335.0
1,1.0,1371.060606060606,0,0,4,1.0,0.0,0.0,0.0,2345.0
1,1.0,673.0,1,1,20,1.0,0.0,0.0,0.0,2303.89
2,1.0,905.0,1,1,20,1.0,0.0,0.0,0.0,2802.79
3,1.5,965.0,1,1,20,1.0,0.0,0.0,0.0,3019.1
1,1.0,670.0,1,1,20,1.0,0.0,0.0,0.0,2322.39
1,1.0,673.0,1,1,20,1.0,0.0,0.0,0.0,2348.89
2,1.0,898.0,1,1,20,1.0,0.0,0.0,0.0,2804.29
2,1.0,918.0,1,1,20,1.0,0.0,0.0,0.0,2884.29
1,1.0,627.0,1,1,16,1.0,0.0,0.0,0.0,2260.0
1,1.0,645.0,1,1,16,1.0,0.0,0.0,0.0,2364.0
1,1.0,627.0,1,1,16,1.0,0.0,0.0,0.0,2133.07
3,1.5,1075.0,1,1,16,1.0,0.0,0.0,0.0,3103.31
3,1.5,1075.0,1,1,16,1.0,0.0,0.0,0.0,3173.31
1,1.0,645.0,1,1,16,1.0,0.0,0.0,0.0,2583.0
2,1.0,1087.0,1,1,14,1.0,0.0,0.0,0.0,2935.0
1,1.0,776.0,1,1,14,1.0,0.0,0.0,0.0,2383.0
2,1.0,1051.0,1,1,14,1.0,0.0,0.0,0.0,2890.0
2,1.0,965.0,1,1,14,1.0,0.0,0.0,0.0,2751.0
2,1.0,873.0,1,1,11,1.0,0.0,0.0,0.0,2679.63
2,1.0,871.0,1,1,11,1.0,0.0,0.0,0.0,2653.99
2,1.0,873.0,1,1,11,1.0,0.0,0.0,0.0,2746.95
2,1.0,872.0,1,1,11,1.0,0.0,0.0,0.0,2669.77
2,1.0,873.0,1,1,11,1.0,0.0,0.0,0.0,2699.36
2,1.0,871.0,1,1,11,1.0,0.0,0.0,0.0,2723.03
1,1.0,685.0,1,1,11,1.0,0.0,0.0,0.0,2374.82
2,1.0,873.0,1,1,11,1.0,0.0,0.0,0.0,2648.31
1,1.0,724.0,0,0,15,1.0,0.0,0.0,0.0,2578.1
1,1.0,723.0,0,0,15,1.0,0.0,0.0,0.0,2597.1
1,1.0,724.0,0,0,15,1.0,0.0,0.0,0.0,2598.1
2,1.0,976.0,0,0,15,1.0,0.0,0.0,0.0,2899.0
1,1.0,724.0,0,0,15,1.0,0.0,0.0,0.0,2658.1
2,2.0,840.0,1,1,16,1.0,0.0,0.0,0.0,3088.75
1,1.0,622.0,1,1,16,1.0,0.0,0.0,0.0,2669.94
1,1.0,649.0,1,1,16,1.0,0.0,0.0,0.0,2925.77
3,1.0,1834.0,1,1,16,1.0,0.0,0.0,0.0,3241.99
3,1.0,1834.0,1,1,16,1.0,0.0,0.0,0.0,3269.99
3,2.5,1450.0,1,1,6,0.0,0.0,0.0,0.0,3295.0
2,1.0,880.0,1,1,3,1.0,0.0,0.0,0.0,2415.0
1,1.0,580.0,0,0,3,1.0,0.0,0.0,0.0,2325.0
2,2.0,836.0,0,0,3,1.0,0.0,0.0,0.0,2635.0
3,2.5,2060.0,1,1,2,0.0,0.0,0.0,1.0,3095.0
4,3.0,1800.0,1,1,2,0.0,0.0,0.0,1.0,3495.0
2,1.0,744.0,1,1,7,1.0,0.0,0.0,0.0,2105.0
1,1.0,546.0,1,1,7,1.0,0.0,0.0,0.0,1845.0
1,1.0,650.0,1,1,3,1.0,0.0,0.0,0.0,1710.0
2,1.0,665.0,1,1,7,1.0,0.0,0.0,0.0,1840.0
3,1.0,900.0,1,1,7,1.0,0.0,0.0,0.0,2095.0
2,1.0,884.0,1,1,7,1.0,0.0,0.0,0.0,1825.0
2,1.0,937.0,1,1,8,1.0,0.0,0.0,0.0,1945.0
1,1.0,742.0,1,1,8,1.0,0.0,0.0,0.0,1815.0
2,1.0,1714.0,1,1,8,1.0,0.0,0.0,0.0,2635.0
1,1.0,0.0,1,1,3,1.0,0.0,0.0,0.0,1550.0
3,1.0,1800.0,1,1,7,1.0,0.0,0.0,0.0,2995.0
4,4.0,2850.0,1,1,2,1.0,0.0,0.0,0.0,2895.0
1,1.0,1371.060606060606,1,1,8,1.0,0.0,0.0,0.0,1420.0
2,1.0,1371.060606060606,1,1,8,1.0,0.0,0.0,0.0,1595.0
4,3.0,1800.0,1,1,8,0.0,0.0,0.0,1.0,2595.0
2,2.0,1200.0,1,1,8,1.0,0.0,0.0,0.0,1945.0
4,2.5,2450.0,1,1,2,0.0,0.0,0.0,1.0,2890.0
1,1.0,600.0,1,1,8,0.0,1.0,0.0,0.0,1245.0
1,1.0,600.0,1,1,7,0.0,1.0,0.0,0.0,1345.0
1,1.0,1000.0,1,1,3,0.0,1.0,0.0,0.0,1595.0
1,1.0,600.0,1,1,3,0.0,1.0,0.0,0.0,1595.0
2,2.0,893.0,1,1,2,1.0,0.0,0.0,0.0,2250.0
1,1.0,441.0,1,1,2,1.0,0.0,0.0,0.0,1850.0
2,1.0,665.0,1,1,3,1.0,0.0,0.0,0.0,1885.0
1,1.0,555.0,1,1,3,1.0,0.0,0.0,0.0,1640.0
1,1.0,612.0,1,1,3,1.0,0.0,0.0,0.0,1785.0
1,1.0,1371.060606060606,0,0,8,1.0,0.0,0.0,0.0,2255.0
2,1.0,1371.060606060606,0,0,8,1.0,0.0,0.0,0.0,2675.0
2,1.0,660.0,1,1,6,1.0,0.0,0.0,0.0,2575.0
1,1.0,560.0,1,1,6,1.0,0.0,0.0,0.0,2160.0
1,1.0,580.0,1,1,12,1.0,0.0,0.0,0.0,2195.0
2,1.0,874.0,1,1,6,1.0,0.0,0.0,0.0,2500.0
1,1.0,648.0,1,1,6,1.0,0.0,0.0,0.0,1950.0
1,1.0,476.0,0,0,12,1.0,0.0,0.0,0.0,1729.0
2,1.0,790.0,1,1,11,1.0,0.0,0.0,0.0,2765.0
1,1.0,605.0,1,1,11,1.0,0.0,0.0,0.0,2325.0
1,1.0,1371.060606060606,1,1,18,0.0,0.0,0.0,0.0,425.0
1,1.0,1371.060606060606,1,1,18,0.0,0.0,0.0,0.0,475.0
3,2.0,1371.060606060606,1,1,42,1.0,0.0,0.0,0.0,3250.0
2,2.0,1371.060606060606,1,1,42,1.0,0.0,0.0,0.0,2815.0
1,1.0,685.0,1,1,26,1.0,0.0,0.0,0.0,2195.0
1,1.0,580.0,1,1,4,1.0,0.0,0.0,0.0,2145.0
1,1.0,700.0,1,1,26,1.0,0.0,0.0,0.0,2295.0
3,2.0,1185.0,1,1,26,1.0,0.0,0.0,0.0,3000.0
2,1.0,960.0,1,1,26,1.0,0.0,0.0,0.0,2595.0
1,1.0,700.0,1,1,26,1.0,0.0,0.0,0.0,2400.0
1,1.0,605.0,1,1,6,1.0,0.0,0.0,0.0,2295.0
2,1.0,605.0,1,1,6,1.0,0.0,0.0,0.0,2500.0
2,1.0,1000.0,0,0,24,1.0,0.0,0.0,0.0,3000.0
2,1.0,948.0,0,0,98,1.0,0.0,0.0,0.0,2595.0
2,1.0,948.0,0,0,98,1.0,0.0,0.0,0.0,2595.0
1,1.0,850.0,1,1,26,0.0,1.0,0.0,0.0,1845.0
2,2.0,680.0,1,1,2,1.0,0.0,0.0,0.0,2650.0
1,1.0,350.0,1,1,13,0.0,1.0,0.0,0.0,1695.0
2,1.0,1371.060606060606,1,1,42,0.0,0.0,0.0,0.0,2949.0
2,1.0,1200.0,1,1,32,0.0,1.0,0.0,0.0,2295.0
2,2.0,600.0,1,1,24,1.0,0.0,0.0,0.0,2550.0
2,2.0,700.0,1,1,2,1.0,0.0,0.0,0.0,2500.0
2,1.0,1400.0,1,1,32,0.0,1.0,0.0,0.0,2295.0
1,1.0,600.0,1,1,8,0.0,1.0,0.0,0.0,2195.0
5,5.0,3000.0,1,1,2,0.0,0.0,0.0,1.0,5965.0
2,1.0,966.0,1,1,14,1.0,0.0,0.0,0.0,2575.0
1,1.0,709.0,1,1,14,1.0,0.0,0.0,0.0,2075.0
3,1.0,1300.0,1,1,98,1.0,0.0,0.0,0.0,3250.0
2,2.0,800.0,1,1,6,1.0,0.0,0.0,0.0,2800.0
3,1.0,1400.0,1,1,24,0.0,1.0,0.0,0.0,2745.0
1,1.0,800.0,1,1,2,1.0,0.0,0.0,0.0,2500.0
2,1.0,500.0,1,1,98,0.0,1.0,0.0,0.0,1495.0
1,1.0,1371.060606060606,1,1,26,1.0,0.0,0.0,0.0,2250.0
2,1.0,960.0,1,1,26,1.0,0.0,0.0,0.0,2650.0
2,1.0,1055.0,1,1,26,1.0,0.0,0.0,0.0,2700.0
1,1.0,850.0,1,1,26,1.0,0.0,0.0,0.0,2200.0
3,1.5,1372.0,0,0,26,0.0,0.0,0.0,0.0,2950.0
1,1.5,1383.0,0,0,26,0.0,0.0,0.0,0.0,2450.0
2,1.0,560.0,1,1,2,1.0,0.0,0.0,0.0,2375.0
